name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,cluster,pca_x,pca_y,mood
Concert Intro Music - Live,Licked Live In NYC,0.0824,0.463,0.993,0.996,0.932,-12.913,0.11,118.001,0.0302,33,1,1.3157985091631015,-1.1995161531123344,Mixed
Street Fighting Man - Live,Licked Live In NYC,0.437,0.326,0.965,0.233,0.961,-4.803,0.0759,131.455,0.318,34,3,1.8262070838204358,-0.549151656311547,Mixed
Start Me Up - Live,Licked Live In NYC,0.416,0.386,0.969,0.4,0.956,-4.936,0.115,130.066,0.313,34,3,1.9471328579926857,-0.4907250289465149,Mixed
If You Can't Rock Me - Live,Licked Live In NYC,0.567,0.369,0.985,0.000107,0.895,-5.535,0.193,132.994,0.147,32,3,2.530783214463344,-1.7204817026666728,Mixed
Don’t Stop - Live,Licked Live In NYC,0.4,0.303,0.969,0.0559,0.966,-5.098,0.093,130.533,0.206,32,3,2.1516819657301456,-1.0050808325338738,Mixed
Monkey Man - Live,Licked Live In NYC,0.275,0.34,0.956,0.125,0.741,-5.539,0.0915,101.628,0.125,31,3,1.6474142689093778,-0.9663546481259426,Mixed
Angie - Live,Licked Live In NYC,0.561,0.262,0.81,2.76e-06,0.972,-6.851,0.0969,77.52,0.394,31,3,0.9799696734552319,-1.6885368021346296,Mixed
Let It Bleed - Live,Licked Live In NYC,0.317,0.413,0.971,0.000267,0.993,-5.509,0.0873,128.958,0.484,30,3,1.5315510331870654,-0.03894154578805293,Mixed
Midnight Rambler - Live,Licked Live In NYC,0.416,0.268,0.942,0.0408,0.959,-6.018,0.119,139.452,0.285,30,3,2.2428151017615807,-1.2031018479230844,Mixed
Tumbling Dice - Live,Licked Live In NYC,0.401,0.31,0.944,0.0752,0.974,-5.074,0.128,119.782,0.188,29,3,2.305695671738261,-1.2857391656704014,Mixed
Band Introductions - Live,Licked Live In NYC,0.732,0.262,0.939,0.00952,0.936,-9.269,0.222,79.42,0.0317,27,3,2.2016904663613035,-3.445961487089779,Chill
Thru And Thru - Live,Licked Live In NYC,0.672,0.278,0.651,0.000425,0.893,-7.024,0.0553,95.853,0.334,27,0,0.2683820392394288,-2.214445902915955,Mixed
Happy - Live,Licked Live In NYC,0.473,0.322,0.947,0.163,0.955,-4.12,0.0602,136.149,0.498,27,3,1.615907438557845,-0.18799200381780226,Mixed
Gimme Shelter - Live,Licked Live In NYC,0.423,0.36,0.98,0.00219,0.98,-5.104,0.104,119.779,0.136,28,3,2.120048857501676,-1.234290828699172,Mixed
You Got Me Rocking - Live,Licked Live In NYC,0.32,0.388,0.974,0.0955,0.966,-4.982,0.0974,128.486,0.166,26,3,2.1094504198722666,-0.8512810694247481,Mixed
Can't You Hear Me Knocking - Live,Licked Live In NYC,0.435,0.401,0.921,0.0366,0.976,-5.664,0.0517,144.848,0.734,27,3,0.9201598045009397,0.3534456302801169,Happy
Honky Tonk Women - Live,Licked Live In NYC,0.536,0.401,0.94,0.00183,0.937,-4.858,0.0928,112.304,0.342,27,3,1.4259768651726172,-0.8846844566988121,Mixed
Satisfaction - Live,Licked Live In NYC,0.5,0.256,0.979,0.309,0.969,-4.472,0.0906,142.464,0.24,28,3,2.4059443263531146,-1.0117185012438519,Mixed
It's Only Rock 'N' Roll - Live,Licked Live In NYC,0.675,0.378,0.986,0.621,0.971,-5.232,0.0833,140.253,0.436,25,3,1.6015083029894006,-0.5841755200480102,Mixed
When The Whip Comes Down - Live,Licked Live In NYC,0.336,0.292,0.986,0.282,0.975,-5.827,0.131,149.383,0.179,24,3,2.7422800938588945,-1.16026609567612,Mixed
Brown Sugar - Live,Licked Live In NYC,0.439,0.34,0.989,0.722,0.982,-4.734,0.108,139.361,0.164,25,3,2.4665854185581386,-0.879873131734061,Mixed
Sympathy For The Devil - Live,Licked Live In NYC,0.424,0.447,0.979,2.17e-05,0.953,-4.942,0.114,109.191,0.295,26,3,1.6780245962860978,-0.7344803915313142,Mixed
Jumpin Jack Flash - Live,Licked Live In NYC,0.313,0.192,0.964,0.538,0.968,-4.264,0.0609,138.005,0.191,25,3,2.5804416481219183,-0.7696750139961369,Mixed
Honky Tonk Women - Live At The El Mocambo 1977,Live At The El Mocambo,0.162,0.43,0.901,0.011,0.694,-6.215,0.045,112.077,0.89,32,2,0.05743170679974751,1.2795105124952726,Happy
All Down The Line - Live At The El Mocambo 1977,Live At The El Mocambo,0.107,0.245,0.965,0.0547,0.95,-5.153,0.0828,157.346,0.697,29,3,2.120290183780682,0.6747691595985779,Happy
Hand Of Fate - Live At The El Mocambo 1977,Live At The El Mocambo,0.0654,0.477,0.899,0.0376,0.727,-6.189,0.0425,129.991,0.805,29,2,0.2753860660757611,1.3514081754096878,Happy
Route 66 - Live At The El Mocambo 1977,Live At The El Mocambo,0.0975,0.473,0.923,0.00157,0.722,-6.204,0.0791,144.625,0.792,30,2,0.6915210846804463,1.201477160420191,Happy
Fool To Cry - Live At The El Mocambo 1977,Live At The El Mocambo,0.434,0.331,0.692,0.0143,0.889,-7.105,0.045,76.21,0.512,29,0,-0.052790726205418345,-1.1229672311142187,Mixed
Crazy Mama - Live At The El Mocambo 1977,Live At The El Mocambo,0.0288,0.447,0.883,0.00554,0.726,-6.266,0.0371,117.604,0.556,29,2,0.4874368893170617,0.6768957029854192,Mixed
Mannish Boy - Live At The El Mocambo 1977,Live At The El Mocambo,0.28,0.272,0.76,0.00087,0.962,-7.508,0.0526,201.585,0.782,27,3,1.1630499739758746,0.018918338041491487,Happy
Crackin’ Up - Live At The El Mocambo 1977,Live At The El Mocambo,0.308,0.594,0.801,0.103,0.699,-7.448,0.0277,105.572,0.925,27,2,-1.0894931497192446,1.0555508112707972,Happy
Dance Little Sister - Live At The El Mocambo 1977,Live At The El Mocambo,0.0647,0.311,0.912,0.0426,0.851,-6.316,0.103,154.192,0.713,27,3,1.686262605795546,0.5661725924120334,Happy
Around And Around - Live At The El Mocambo 1977,Live At The El Mocambo,0.0645,0.429,0.869,0.00543,0.848,-7.467,0.042,97.223,0.79,27,2,0.1317394754534515,0.82434566752087,Happy
Tumbling Dice - Live At The El Mocambo 1977,Live At The El Mocambo,0.133,0.45,0.842,0.0358,0.758,-7.254,0.0343,107.825,0.768,32,2,-0.13680934731324737,0.8243149092732203,Happy
Hot Stuff - Live At The El Mocambo 1977,Live At The El Mocambo,0.0372,0.497,0.914,0.181,0.753,-6.82,0.0487,110.005,0.791,27,2,0.17609245589307398,1.3083262986232855,Happy
Star Star - Live At The El Mocambo 1977,Live At The El Mocambo,0.0252,0.251,0.926,0.0661,0.901,-6.013,0.0997,155.776,0.767,26,3,1.9676831091043834,0.71773955579059,Happy
Let's Spend The Night Together - Live At The El Mocambo 1977,Live At The El Mocambo,0.122,0.37,0.89,0.000808,0.7,-6.004,0.0408,78.472,0.723,26,2,0.2317932045660364,0.6651268723454974,Happy
Worried Life Blues - Live At The El Mocambo 1977,Live At The El Mocambo,0.239,0.417,0.677,0.00296,0.759,-8.309,0.0461,111.718,0.589,26,0,-0.28597557915481525,-0.520355624786286,Mixed
Little Red Rooster - Live At The El Mocambo 1977,Live At The El Mocambo,0.194,0.292,0.608,0.00879,0.746,-8.809,0.0341,98.803,0.43,25,0,-0.12327500392027324,-1.2943769618381429,Mixed
It’s Only Rock ’N’ Roll (But I Like It) - Live At The El Mocambo 1977,Live At The El Mocambo,0.119,0.327,0.919,0.00432,0.94,-5.885,0.0379,141.465,0.901,29,2,0.9765986958987622,1.2350636354106865,Happy
